date,conversation_id,kor_sent,eng_sent,qna_id
20171204,1,안녕하세요?,Hello.,
20171204,2,"네, 안녕하세요?",Hello.,
20171204,3,저는 유양이에요.,I'm Yooyang.,
20171204,4,저는 김우빈이에요.,"I'm Kim, Woobin.",
20171205,1,유양 씨는 중국 사람이에요?,"Ms. Yooyang, are you Chinese?",
20171205,2,"네, 저는 중국 사람이에요.","Yes, I am Chinese.",
20171205,3,학생이에요?,Are you a student?,
20171205,4,"네, 학생이에요.","Yes, I am a student.",
20171206,1,우빈 씨는 학생이에요?,"Mr. Woobin, are you a student?",
20171206,2,"아니요, 저는 학생이 아니에요.","No, I'm not a student.",
20171206,3,그럼 회사원이에요?,"Then, are you an office worker?",
20171206,4,"네, 회사원이에요.","Yes, I'm an office worker.",
20171207,1,저 사람은 누구예요?,Who is that person?,
20171207,2,저 사람은 흐엉 씨예요.,That person is Ms. Huong.,
20171207,3,베트남 사람이에요?,Is she Vietnamese?,
20171207,4,"네, 베트남 사람이에요.","Yes, she is Vietnamese.",
20171208,1,다니엘 씨는 누구예요?,Who is Mr. Daniel?,
20171208,2,다니엘 씨는 스티브 씨의 남동생이에요.,Mr. Daniel is Steve's younger brother.,
20171208,3,다니엘 씨는 우빈 씨의 친구예요?,"Mr. Woobin, is Mr. Daniel your friend?",
20171208,4,"네, 다니엘 씨는 제 친구예요.","Yes, Mr. Daniel is my friend.",
20171209,1,스티브 씨는 회사원이에요?,Is Mr. Steve an office worker?,
20171209,2,"아니요, 회사원이 아니에요. 의사예요.","No, he isn't an office worker. He is a doctor.",
20171209,3,그럼 누가 회사원이에요?,"Then, who is an office worker?",
20171209,4,흐엉 씨가 회사원이에요.,Ms. Huong is an office worker.,
20171211,1,유양 씨의 집은 아파트예요?,"Ms. Yooyang, is your house an apartment?",
20171211,2,"네, 아파트예요.","Yes, it is.",
20171211,3,아파트의 이름이 뭐예요?,What is the name of your apartment?,
20171211,4,연세 아파트예요.,It is Yonsei Apartment.,
20171212,1,여기가 우리 아파트예요.,This is my apartment.,
20171212,2,저것이 뭐예요?,What is that?,
20171212,3,헬스클럽이에요. 헬스클럽이 아주 넓어요.,That is a fitness club. The fitness club is very large.,
20171213,1,유양 씨의 집은 어디예요?,"Ms. Yooyang, where do you live?",
20171213,2,바로 저기예요.,I live right there.,
20171213,3,집이 어때요?,How is your house?,
20171213,4,집이 작아요.,My house is small.,
20171214,1,저기가 유양 씨의 방이에요?,"Ms. Yooyang, is that your room?",
20171214,2,"네, 제 방이에요.","Yes, it's my room.",
20171214,3,방이 밝아요?,Is your room bright?,
20171214,4,"네, 밝아요. 방에 창문이 있어요.","Yes, it's bright. There is a window in the room.",
20171215,1,집에 애완동물이 있어요?,Is there a pet in your house?,
20171215,2,"네, 고양이가 있어요.","Yes, there is a cat.",
20171215,3,고양이가 어때요?,How is your cat?,
20171215,4,귀여워요.,It's cute.,
20171216,1,집에 베란다가 있어요?,Is there a veranda in your house?,
20171216,2,"네, 있어요.","Yes, there is.",
20171216,3,베란다에 의자가 있어요?,Is there a chair on the veranda?,
20171216,4,"아니요, 베란다에 의자가 없어요.","No, there is no chair on the veranda.",
20171218,1,회사가 어디에 있어요?,Where is your company?,
20171218,2,여의도에 있어요.,It is in Yeouido.,
20171218,3,회사가 커요?,Is your company big?,
20171218,4,"네, 커요.","Yes, it's big.",
20171219,1,엘리베이터는 어디에 있어요?,Where is the elevator?,
20171219,2,엘리베이터는 저쪽에 있어요.,The elevator is over there.,
20171219,3,회사에 엘리베이터가 많아요?,Are there many elevators in your company?,
20171219,4,"네, 많아요.","Yes, there are.",
20171220,1,회사에 휴게실이 있어요?,Are there lounges in your company?,
20171220,2,"네, 있어요.","Yes, there are.",
20171220,3,휴게실이 어디에 있어요?,Where are the lounges?,
20171220,4,휴게실은 오 층하고 십 층에 있어요.,The lounges are on the fifth and tenth floors.,
20171221,1,사무실에 복사기가 있어요?,Is there a copy machine in the office?,
20171221,2,"네, 있어요.","Yes, there is.",
20171221,3,복사기가 어디에 있어요?,Where is the copy machine?,
20171221,4,복사기는 창문 앞에 있어요.,The copy machine is in front of the window.,
20171222,1,사무실에 책상이 많아요?,Are there many desks in the office?,
20171222,2,"네, 많아요. 사무실에 책상이 스무 개 있어요.","Yes, there are. There are twenty desks in the office.",
20171222,3,직원이 많아요?,Are there many employees?,
20171222,4,"네, 많아요.","Yes, there are.",
20171223,1,사무실에 직원이 몇 명 있어요?,How many employees are there in the office?,
20171223,2,스무 명 있어요.,There are twenty employees.,
20171223,3,외국 사람은 몇 명 있어요?,How many foreigners are there?,
20171223,4,두 명 있어요.,There are two foreigners.,
20171225,1,유양 씨는 여동생이 있어요?,"Ms. Yooyang, do you have a younger sisters?",
20171225,2,"네, 저는 여동생이 있어요.","Yes, I have a younger sister.",
20171225,3,여동생이 학생이에요?,Is your younger sister a student?,
20171225,4,"네, 학생이에요.","Yes, she is a student.",
20171226,1,우빈 씨는 여동생이 있어요?,"Mr. Woobin, do you have a younger sister?",
20171226,2,"네, 있어요.","Yes, I have.",
20171226,3,누나도 있어요?,"Do you have an elder sister, too?",
20171226,4,"네, 누나도 있어요.","Yes, I have an older sister, too.",
20171227,1,우빈 씨 누나는 회사원이에요?,"Mr. Woobin, is your elder sister an office worker?",
20171227,2,"네, 우리 누나는 회사원이에요.","Yes, she is an office worker.",
20171227,3,성격이 어때요?,How is her personality?,
20171227,4,성격이 활발해요.,She is outgoing.,
20171228,1,우빈 씨는 여자 친구가 있어요?,"Mr. Woobin, do you have a girlfriend?",
20171228,2,"네, 있어요.","Yes, I have.",
20171228,3,여자 친구도 회사원이에요?,"Is she an office worker, too?",
20171228,4,"아니요, 여자 친구는 학생이에요.","No, my girlfriend is a student.",
20171229,1,우빈 씨 여자 친구는 몇 살이에요?,"Mr. Woobin, how old is your girlfriend?",
20171229,2,스물세 살이에요.,She is twenty-three years old.,
20171229,3,우빈 씨 여자 친구는 어때요?,"Mr. Woobin, how tall is your girlfriend?",
20171229,4,제 여자 친구는 키가 커요.,My girlfriend is tall.,
20171230,1,우빈 씨는 여자 친구를 자주 만나요?,"Mr. Woobin, do you meet your girlfriend often?",
20171230,2,"네, 자주 만나요.","Yes, I meet her often.",
20171230,3,무엇을 해요?,What do you do?,
20171230,4,같이 영화를 봐요.,We watch movies together.,
20180101,1,유양 씨는 책을 자주 읽어요?,"Ms. Yooyang, do you read books often?",
20180101,2,"네, 소설책을 자주 읽어요.","Yes, I read novels often.",
20180101,3,보통 어디에서 책을 읽어요?,Where do you usually read books?,
